signal_1,signal_2,signal_3
0.4108039223239219+0.28502219109138494i,0.029690330488122398+0.02074778879813171i,0.0008138681598461689+0.0005574574174753593i
-0.48579231144328544+0.11834122356445448i,-0.03547994115741576+0.008591186773407412i,-0.0009777005307180058+0.00022548811081448804i
0.23368891636099984-0.44202841011810223i,0.017265358204699863-0.032478263389789444i,0.0004702718922836348-0.0009051634919539758i
0.1757593060582762+0.468087239109101i,0.01300876106710864+0.03477743633098929i,0.000355663060762836+0.0009431556043497323i
-0.4668675049329395-0.178981034839426i,-0.03489141439058305-0.013371367139252535i,-0.0009621250342303627-0.00037839716026638435i
0.443626252255653-0.23064010939474128i,0.03342400465542498-0.017340315836206533i,0.000914513483416023-0.0004897728687094766i
-0.12168647501340604+0.4849635478802801i,-0.00920315302470371+0.036827929702406184i,-0.00025463737632291494+0.0009996757169519687i
-0.2821876162629514-0.4127589021728232i,-0.021582883967242235-0.0314721424652752i,-0.000596979525212018-0.0008762156385666936i
0.49605976642853344+0.06263346138309833i,0.03815888222036861+0.0047821946477376856i,0.0010449289022523734+0.00011763837288940428i
-0.3759291853933663+0.329659404631646i,-0.02902105536823895+0.025609151809388383i,-0.0007992444506790248+0.0006916172806835081i
0.0026791747641713437-0.49999260325960093i,0.00010197965145356935-0.03889155864542329i,-0.0000016736236590023585-0.0010805819228337113i
0.37237362523514417+0.3336693554312834i,0.029258483572532874+0.026054962948034964i,0.0008008196495413794+0.000701764545036602i
-0.49670327495741773+0.057313514838580396i,-0.03907912630223095+0.004710190648453426i,-0.0010758272061401305+0.00011768417162969721i
0.28659463859704276-0.409710953100201i,0.022533550933782388-0.03250365232146284i,0.0006141675560935343-0.0009057115982109562i
0.11648097592314441+0.4862398223333029i,0.009486604474989578+0.03865718828101017i,0.000258200401123146+0.0010478058710267463i
-0.44112948231413457-0.23538127422123964i,-0.03535911273536193-0.018557967504445303i,-0.0009741308697869365-0.0005212441207488563i
0.46875830196609475-0.17396727116080873i,0.037536935223581785-0.014188169313826413i,0.0010260832355195165-0.00040336977915084106i
-0.1807668421382336+0.4661767126581151i,-0.014275630502692569+0.03771562221343828i,-0.0003939062406937876+0.001022069756065442i
-0.22893855592012596-0.444507504645155i,-0.018811259117884834-0.035775073534291865i,-0.0005203974392589846-0.0009939866452157754i
0.4844953379625409+0.12354073060939684i,0.039436016069689966+0.009709946641213728i,0.0010783845971048252+0.0002521309601191734i
-0.41383587762969426+0.28060317117288414i,-0.03347743759444828+0.023219985289106928i,-0.0009208046241927592+0.0006244696425167388i
0.06453389018206004-0.49581764262422784i,0.004855071103454369-0.04052831769461794i,0.00012854592580216202-0.001124667688471149i
0.32821851771590416+0.37718672606717485i,0.0272442717989919+0.03062817614716247i,0.0007442030910358769+0.000825786708286511i
-0.49997801685268073-0.004595342572245067i,-0.04104863544301288+0.00015362195112759321i,-0.0011286395857370434-0.000008066120784105743i
0.3350943011246552-0.3710946945435489i,0.02718634862249087-0.030855012030422405i,0.0007407490189405665-0.0008596727835517843i
0.055411882952059344+0.496917020919476i,0.005139351417003671+0.04093008416171628i,0.00013833346121831767+0.001108241202099682i
-0.4086096195753191-0.2881628252120976i,-0.034066520609639876-0.023259238049406147i,-0.00093749069138954-0.0006498759715273939i
0.4866837405508971-0.11461991237997057i,0.0400813635064421-0.010059842473786534i,0.0010941699428966946-0.0002898806309035186i
-0.23706813757363204+0.4402229394397774i,-0.019001527305069515+0.036765043122449416i,-0.0005231393269132803+0.0009941687486558777i
-0.17216984061892485-0.46942234964986945i,-0.014909358099864526-0.0385625391276926i,-0.00041282009559099486-0.0010692094984630154i
0.46548236000818966+0.18254868583964629i,0.038809248698144456+0.014439793461790095i,0.0010593866458295808+0.0003812252123432857i
-0.44538033671847777+0.22723297398840048i,-0.036483962499437+0.01954641971939113i,-0.0010019996135796126+0.0005226168741939356i
0.1253964679228302-0.4840200916828061i,0.009571075942625299-0.0402075923544895i,0.00025744151593231235-0.0011142643223294667i
0.27901743245244004+0.4149052747650328i,0.023795850946077272+0.033831972079314834i,0.0006483807397135656+0.0009122267866884661i
-0.4955661918358022-0.06643357302213808i,-0.04101761123044749-0.0045362773345976985i,-0.0011261732898284005-0.00013661246853548736i
0.3784422788498216-0.3267733138660272i,0.03056832824069615-0.027626446688231724i,0.0008320910561355998-0.0007698295421900155i
-0.006509107596646468+0.49995468553575406i,0.0004827687290692699+0.041173153453971885i,0.000010424855740284991+0.0011131912267105738i
-0.3698078712408814-0.3365142337344079i,-0.031051028736919565-0.02680474900665047i,-0.0008535251787770336-0.0007458305785098839i
