signal_1,signal_2
0.8153333776795607+0.00038258760949662395i,0.07912752293514436+0.000037255308251102196i
0.8246291883388298+0.00016930882930254196i,0.07794959541892817+0.00001601023963931314i
0.7469298828841356+0.0006920472614422952i,0.06875527501005331+0.00006381499032775476i
0.781017434806172+0.00017559791758685686i,0.07000717691209407+0.000015713042737255375i
0.7596732391734516-0.0001686910268112459i,0.0662880087560707-0.000014649719111652227i
0.8101208035053625-0.00003869958579719118i,0.06881210513616078-0.0000032779333762846077i
0.7837148467795555+0.0007505360729755349i,0.0647833339307915+0.00006210638922407145i
0.7699160034493283+0.00013263454493748892i,0.06193226081100057+0.00001075893782684748i
0.8023808845289165+0.00020127081841160395i,0.0627996123312941+0.000015857771210236427i
0.7235138757979762+0.001176067440679894i,0.05509170567646094+0.00008967995998939698i
0.7839496880848396+0.00011268139375686209i,0.05807181094400692+0.000008494514676529248i
0.7223548566906809+0.00009631336664386208i,0.05204523272813903+0.000007061985273667243i
0.7401352801814771+0.00020558858217969953i,0.05186518093867185+0.000014573434388652067i
0.7139017285390913+0.000830742965730093i,0.048642238326821394+0.00005670151917692827i
0.739896617024621+0.00040323407285648043i,0.04901533013951506+0.00002687239680238552i
0.7414891414572203+0.00038753123638011827i,0.04774580689883811+0.000025042628025295548i
0.7060253850121458-0.0001715425406042999i,0.04418711841500691-0.000010614267758454284i
0.7034923341513244-0.000138113027313223i,0.042786970804754174-0.000008289356930290762i
0.6969599263750137-0.00047168606362627593i,0.041190716507156756-0.00002776314039955892i
0.6765770029990111-0.00046660817503986333i,0.03885255519016442-0.000026623096531356963i
0.7108354373506783-0.00008307885673534164i,0.03965542963838052-0.000004495191426406888i
0.7015471297442721+0.0002714368333520504i,0.03801881896074961+0.000014922942013463332i
0.6738522596881713+0.0006736643266734181i,0.03546441570573319+0.00003558324285919645i
0.6878132792900296+0.00040318861988148264i,0.03515243115405104+0.000020759198284625375i
0.6613598993826676+0.0006320276869527683i,0.032814099843865956+0.000031448951136313645i
0.7152307802987534+0.00010784067950522251i,0.03444919754669866+0.00000528003598261072i
0.6521924224816047+0.0007639060062122874i,0.03048916480827415+0.00003579183931207269i
0.7230432188940914-0.00003947993275556748i,0.032804702457525876-0.0000016865278381136115i
0.6883844890644633-0.00007075660936982006i,0.03030889454436953-0.0000030054313593259387i
0.7103552533237385+0.0008445440621596522i,0.03034657641646757+0.00003625461614976469i
0.753693512728266+0.00020967165960464185i,0.031238629266131943+0.0000088002419979282i
0.7265759657979303-0.000037305990420605924i,0.029209711664234472-0.0000013054090171068649i
0.7499414226385162+0.0002447748624919339i,0.02924026047226542+0.000009594677097832492i
0.7227030826730565+0.0005011048544365391i,0.027321630100747122+0.000019075402928038783i
0.7858417346805578+0.00022960829110176158i,0.028803035330345457+0.000008449046420878082i
0.7771597374041567-0.0001105426912021077i,0.027611811877906192-0.000003855871659609543i
0.7989891717481681-0.00011232216381846683i,0.02751529834692032-0.0000037679029706812978i
0.8066802260893647-0.0001260639547586137i,0.02692400161427428-0.0000041668833434625665i
0.7853029557491727-0.00019701009071115662i,0.025399368921605034-0.0000061961788092838845i
0.7681870199265053-0.0007160629268964534i,0.024074120760185568-0.000022424333187060374i
0.806055090387223-0.00023466118273841709i,0.024471034361608267-0.000006938390138188271i
