bath,methyl_5_6_7,methyl_8_9_10,methyl_17_18_19,methyl_20_21_22,methyl_106_107_108,methyl_113_114_115,methyl_119_120_121,methyl_126_127_168,methyl_128_129_169,methyl_130_131_132,methyl_140_141_142,methyl_152_153_154,methyl_147_148_149
0.936663312149678-2.21628229601232e-05i,0.990782794616212+0.000108351301519861i,0.992443651398752+5.50115584372587e-05i,0.993514900936011-2.62416560475684e-05i,0.994441018285568-1.6629906999725e-05i,0.994715007538568-1.69878957133288e-06i,0.996605487393009-1.96387321595913e-08i,0.990738060733209-2.30177646857421e-05i,0.999515865083023+9.40675555050409e-08i,0.999345044299689-1.84576514549468e-08i,0.998173139810692+2.79999428098622e-07i,0.998557405550756+2.23118153779628e-07i,0.996152801905881-1.19107532520924e-06i,0.999908562022084+1.26654520416466e-09i
0.939038452214558-2.08131743718927e-05i,0.995546434392489+1.33117166863057e-05i,0.994694260798667-1.19839982530343e-05i,0.995632240777887-2.1033608582242e-05i,0.998476781874186+2.73991057898277e-07i,0.994559008048868+1.63088729890665e-05i,0.995939806615888-1.91555352149613e-07i,0.989885081833234+1.17752923789547e-05i,0.999332610800062-6.54532874000874e-08i,0.999123243359993+6.98483723901498e-07i,0.997671487032003+6.22873848836322e-07i,0.998265581131961+4.98749087435108e-07i,0.995587029496193+1.27819784716488e-06i,0.999639308393973+6.1109615381679e-08i
0.933960976380954-9.51034914233124e-06i,0.987900295975258-0.000158812299248551i,0.99450466914698-4.03333738332567e-06i,0.99500103400183-3.5020781575255e-06i,0.997361057735617-1.72394481597983e-06i,0.994387828010666+7.05060885852125e-06i,0.995249578228879-9.80710417747865e-09i,0.990557109706218+2.93471745681805e-06i,0.999286535456458+2.92134064053405e-07i,0.99906946383698-5.56308697068529e-10i,0.997569627913309+3.69762773580068e-07i,0.997955056249446+8.33926718987318e-08i,0.9950889143339+1.23123011959327e-07i,0.999822165517945+1.46528197294289e-08i
0.921661800793185-3.53491419560047e-05i,0.992500598933479-5.15809176699912e-05i,0.993487938666909-6.40072173692963e-06i,0.986373665711958+0.000145502755173244i,0.995741947338134+3.45687673342159e-06i,0.994108078881969+8.18921871508252e-06i,0.994456938669234-2.8339850831883e-08i,0.990509271273204+6.34964963166901e-06i,0.999143555798279+3.14092984669568e-07i,0.998903173782008+8.25325778053348e-08i,0.997215337970709+6.46356297206375e-07i,0.997592526113249+8.75036847853345e-08i,0.994527531614415+1.27403654554482e-06i,0.999758380094543+2.64156879802575e-08i
0.918938066990842+6.47443351201731e-08i,0.969157846460518-0.000272423852348027i,0.996130347056517-1.40266837201188e-05i,0.995785483807821+5.43114756049845e-06i,0.998633006899328+7.91632469449973e-07i,0.993746259682964+8.07323967848369e-06i,0.993581465281317-1.13950282913594e-07i,0.990175358242691-1.49802151962438e-06i,0.998965241942635+1.59564672920424e-07i,0.998699446746899+4.07472615916266e-07i,0.996777955891908+1.38824112844771e-06i,0.997184289604821+2.45488084142539e-07i,0.993943786596213-2.08707017411436e-08i,0.999632231307502+5.75874820982939e-08i
0.898068896133068-3.51194945356737e-05i,0.991344039548861+7.5603859805972e-05i,0.986605404518336+1.08592586268716e-05i,0.97380057148695+0.000248012371100707i,0.990149652677621+1.89579022154379e-07i,0.993243084800987-7.88321375872051e-06i,0.992645942177782-4.75094345649762e-08i,0.990118743513603-4.74557412498293e-05i,0.998859854508442+2.26919475476262e-07i,0.998588115066425-9.40342853253331e-08i,0.996558497141382+4.21275590544265e-07i,0.996725238404977+3.84139211491281e-07i,0.993383030334487-1.81216886466368e-06i,0.999779927278088+4.1158873520722e-09i
0.893325633649114-5.08010845416431e-06i,0.98029303481506+4.21137324811824e-05i,0.996314256077843-9.81150349893001e-07i,0.990044056437106-4.91423734278057e-05i,0.997574574993059-4.59951754461235e-06i,0.992783574237441+1.05757037936907e-05i,0.991601950215938-3.13224746489414e-07i,0.990019733387819-1.23675833458724e-05i,0.998565134337185-2.78063583773556e-07i,0.998259541764683+1.08522371092832e-06i,0.995844353085699+1.72714805426371e-06i,0.996229135955825+6.82241685582776e-07i,0.992788602050656-3.43572121966063e-08i,0.999408167040824+1.18347254987307e-07i
0.879476046505735-1.92911786141216e-05i,0.988211228135399+0.000225338888599548i,0.984687077131341+1.92914868870203e-05i,0.98090308838361+7.96945241862968e-05i,0.987754843383748-5.54347940458796e-06i,0.992582133776104-1.7509218912369e-05i,0.990519231407977-1.93458552853492e-07i,0.99001090270797-6.73441408920959e-05i,0.998475737629269+2.55593941671618e-09i,0.998182578720931+8.17034416187477e-08i,0.995702109751644+1.71057623602011e-07i,0.995664188826739+9.51723662497053e-07i,0.992260860871647-3.10257440596481e-06i,0.999718907968942+1.81094228423093e-10i
0.876288164705262-2.55276814432565e-05i,0.989336840849499+3.33973389475558e-05i,0.995881337157524-6.48033017462879e-06i,0.985961372518492-6.78160098545395e-05i,0.999017591685542-4.35223844000174e-07i,0.992209457614743+1.20721101510795e-05i,0.989336647219657-3.61851359804861e-07i,0.991148465430746-7.40238021846209e-07i,0.998122080869797-4.48379615444885e-07i,0.997805005931902+1.23373131085728e-06i,0.994881903048101+2.45146475878111e-06i,0.995087418756099+6.99154957208642e-07i,0.991744196338959+1.08745820254177e-06i,0.999293300760024+1.46679062620816e-07i
0.870657569664912+3.78626869585814e-06i,0.98740743133202-3.36787497621494e-05i,0.990304858240644+1.87192205372263e-05i,0.994946308186117-3.40050190433462e-05i,0.990218991331483+2.28224195029166e-07i,0.992585828634091-1.46142482599489e-05i,0.988108849161435-2.07601862741744e-07i,0.991394540695414-3.36756264718701e-05i,0.997997583637284+1.00397662053408e-07i,0.997708606958842-7.83705150353766e-09i,0.994686316675741-1.86226484648506e-08i,0.994417261555768+8.54365748517718e-07i,0.991285720234959-1.48613703791328e-06i,0.999630204633558+9.98402566085251e-10i
0.865406104093668-2.49007258926608e-05i,0.979969752094626-0.000302337727456135i,0.99429145401445-1.47031275445646e-05i,0.990789780975496+1.1569841009155e-05i,0.997562031952812+6.46086819766106e-07i,0.992267003828986+7.05201290977383e-06i,0.98680245337147-1.56511276957373e-07i,0.993033614744561+1.18868864196011e-05i,0.997635902618702-1.34289024341321e-07i,0.997348387727736+4.77359265689555e-07i,0.993900527967109+2.02202870678508e-06i,0.993741031415145+1.24140892932456e-07i,0.990878142970182+1.24028402316551e-06i,0.999322328935254+1.10333242334878e-07i
0.862093440127985+1.1107138132003e-05i,0.99353276441941-6.04712893688417e-05i,0.994344655856809+6.37649797233427e-06i,0.990270282902368+0.000147488507797367i,0.996085040186678-1.94774579940671e-07i,0.992622674384064-3.92736012094174e-06i,0.985434320587977-6.35960064051105e-08i,0.993433387403755-1.3230991722918e-06i,0.997405196014464+2.64747787918419e-07i,0.99715548480027-3.2985560351447e-07i,0.993473626481032-1.02904384805552e-07i,0.992966285773414+1.39838140208875e-07i,0.990499352401068-6.93518444939034e-08i,0.999486072357297+1.84009774887581e-08i
