radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
5.55930301386784e-10,1,12,112,925
4.87909315344563e-10,1,10,92,827
4.91352724628652e-10,1,14,141,1267
6.95529654292324e-10,1,7,59,506
6.24721938145284e-10,1,8,77,682
6.95835109778172e-10,1,7,63,574
7.97513949721257e-10,0,0,1,12
7.61670204222274e-10,0,0,1,12
6.48260364359876e-10,0,0,1,12
5.86028582920663e-10,1,10,78,582
7.48320452747351e-10,1,7,51,364
7.16039454220227e-10,1,6,47,399
5.38912330532528e-10,1,9,77,673
5.78136229620666e-10,0,0,0,1
7.5878093017682e-10,0,0,0,1
7.13008064470522e-10,0,0,0,1
7.22183840860483e-10,1,3,15,87
6.55437640054338e-10,1,6,38,307
6.06585937852173e-10,0,0,1,12
5.30432370807062e-10,0,0,1,12
4.42072957779596e-10,0,0,1,12
5.83565334816934e-10,1,8,71,594
4.81426526066024e-10,1,9,70,577
2.81171655754985e-10,1,7,66,618
4.32396230325844e-10,1,7,59,528
7.77995179933655e-10,1,5,42,413
7.14580646253452e-10,1,8,78,775
7.99378195849749e-10,1,5,41,400
5.81782175732464e-10,1,10,75,510
7.52438369569229e-10,1,7,56,463
7.65194419739193e-10,1,4,15,66
6.82768994609451e-10,1,8,61,489
6.11021685376223e-10,1,8,69,613
4.40799841197794e-10,1,12,125,1153
8.32492942913032e-10,0,0,1,6
8.15864265671686e-10,0,0,1,5
