signal_1,signal_2
-0.49899014429104205-0.031762152735495805i,-0.49397040633307937-0.03149692980917353i
0.28533996632949826-0.41058620494189824i,0.28246248802065704-0.40635027031463045i
0.2037413010071869+0.4566057996149038i,0.20156552644777986+0.45186541839943106i
-0.4961565453123324-0.06187630189162374i,-0.4908797010856934-0.06127431674698488i
0.3096446509061167-0.39258137180516955i,0.30633979244486825-0.38830099262600826i
0.1757590118652217+0.4680898789764906i,0.17377069968824777+0.4629561620757542i
-0.49150722649625106-0.09176401105434395i,-0.48598909851246225-0.09079190926498724i
0.33281616877445225-0.37313986005063765i,0.3290635485903983-0.36884630707296684i
0.14713351999303276+0.47786094955956965i,0.14537039427974563+0.4723328619765039i
-0.4850592023542774-0.1213159040352817i,-0.4793188366415874-0.11994062796118043i
0.3547697221238228-0.35233281726744603i,0.3505509157802609-0.34805997352228407i
0.11796958240542849+0.4858832534393396i,0.1164705779234058+0.4799628206392529i
-0.47683606988741783-0.1504238335891619i,-0.4708957806958736-0.14861290127726026i
0.37542497037096145-0.33023638830224716i,0.3707237731364407-0.32602064046610574i
0.08837392659744575+0.4921274324266001i,0.0871789573703722+0.4858199081339622i
-0.46686792223131013-0.17898127718631357i,-0.46075331392969426-0.17670306910765535i
0.3947063241720711-0.3069314366017424i,0.3895090083107235-0.30281154272733907i
0.05845485996752425+0.49657063550612507i,0.05760457039166593+0.4898846525590638i
-0.45519123852826154-0.20688372683941014i,-0.44893120382900187-0.2041077786594304i
0.412543222047381-0.282503248287173i,0.4068387868328578-0.2785201821040207i
0.02832187345891124+0.4991966024615705i,0.027857373189860667+0.49214430512656226i
-0.4418487504292441-0.23402907155785146i,-0.43547544421684264-0.23072637105569743i
0.42887038860587984-0.2570412200437181i,0.42265080106776365-0.2532379921972037i
-0.0019147591302003109+0.4999957233808879i,-0.0019521751612538406+0.49259287961815823i
-0.42688928571439216-0.26031797103016485i,-0.42043807389915744-0.2564612572131727i
0.44362807342523136-0.2306385319669951i,0.4368884978537349-0.22705998872595343i
-0.03214438470144493+0.49896507382447763i,-0.031713529653371327+0.4912311660937148i
-0.41036758960428216-0.2856542191669105i,-0.4038769725757307-0.2812182815674831i
0.4567622697126771-0.20339180656390046i,0.4495012839769112-0.20008440668799232i
-0.0622563757991359+0.4961084255273842i,-0.061316476057515355+0.4880667188326886i
-0.39234412441592115-0.3099450961736798i,-0.3858556348275729-0.3049070722686598i
0.468224911946719-0.17540075515570186i,0.4604447087240179-0.17241232577315413i
-0.09214053545927303+0.4914362325963628i,-0.0906515458191832+0.48311381858930447i
-0.3728848482966159-0.33310170786574855i,-0.36644292307604914-0.32744137652358674i
0.47797405177629904-0.1467678129773975i,0.46968062284503304-0.14414728548039946i
-0.1216875004831374+0.48496559325233635i,-0.11961042754764599+0.4763934093404772i
-0.352060973845461-0.3550393109826424i,-0.34571280048876973-0.3487393798206915i
0.4859740115337618-0.11759776430871849i,0.47717731334909347-0.11539489142712916i
-0.15078914165966228+0.47672018725824505i,-0.14808637352793638+0.4679330098044312i
-0.3299487075057898-0.37567762331210014i,-0.323744044883496-0.3687240078369316i
0.4921955147998056-0.08799735900863592i,0.4829096136515851-0.08626241437126614i
-0.17933895947193876+0.4667301892612772i,-0.1759745997053256+0.45776660010476533i
-0.3066289706822974-0.3949411174885147i,-0.30061994475320575-0.3873232098950649i
0.49661579354261154-0.058074921856692205i,0.4868589886858107-0.056858383492582557i
-0.20723247383974025+0.4550321583666094i,-0.20317267761947483+0.44593448405012986i
-0.28218710360342925-0.4127592973906767i,-0.2764279786027692-0.40447022291235313i
0.49921867143906923-0.02793995613079838i,0.48901359468991895-0.027292175499813363i
-0.23436760647177557+0.4416689043467735i,-0.22958091679884518+0.43248312759301966i
-0.2567125530127715-0.4290669561273232i,-0.2512594788505497-0.42010381485863224i
0.499994623073177+0.0022972571277665634i,0.48936831347823995+0.0023263988562280025i
-0.2606450544284259+0.4266893309762618i,-0.25510273616489587+0.41746497412272615i
-0.23029854483235804-0.44380441466637366i,-0.22520928160584394-0.43416850682247127i
0.49894080879497565+0.03252606269563649i,0.4879247611047712+0.031887509275663445i
-0.285968653527884+0.41014825706470015i,-0.2796450230404798+0.40093823733558426i
-0.2030417429958062-0.45691774023457454i,-0.1983753636856667-0.4466147728677885i
0.4960610851124487+0.0626358361179847i,0.4846912709256133+0.06128171981932801i
-0.3102457302657885+0.3921062158435322i,-0.30311847840649764+0.3829666725112019i
-0.17504189569980566-0.4683589436883031i,-0.1708584682815218-0.45739921695061797i
0.49136599057835934+0.0925163885465512i,0.47968285116594045+0.09040040065075448i
-0.333387440960477+0.3726292334403728i,-0.32543794710645424+0.36361932710540384i
-0.1464014703685293-0.4780861551332365i,-0.14276172072826393-0.4664847262553856i
0.48487270722366854+0.12205836998353636i,0.47292111719576996+0.11913613603670498i
-0.3553090968827302+0.35178858725171597i,-0.34652273175871307+0.34297027164925054i
-0.11722527866683596-0.4860637771501958i,-0.1141902358633978-0.47384060040201137i
0.4766049976786774+0.15115366945566266i,0.4644341988153268+0.14738312704955134i
-0.37593047418017517+0.3296605450982563i,-0.3662968892009824+0.32109831201737304i
-0.0876200929345615-0.4922626150664222i,-0.08525071849453415-0.47944265606945163i
0.46659311821199806+0.1796958106539374i,0.4542566229476745+0.17503758743797757i
-0.3951761074621534+0.30632608611739676i,-0.3846895083613402+0.29808668419969914i
-0.05769425544557838-0.49665998379555026i,-0.056051058517492744-0.48327330667673507i
0.45487370800559535+0.20758034159124666i,0.44242917222997086+0.20199813116125745i
-0.41297556597066437+0.2818706044143603i,-0.401634968523218+0.27402273277571i
-0.02755728192157164-0.4992397908552869i,-0.026699922245003976-0.48532161685977687i
0.4414896550711067+0.23470521685179974i,0.42899872008704665+0.22816615011733668i
-0.4292637113267107+0.25638359655641463i,-0.41707317702985675+0.24899757435150177i
0.0026805392484999246-0.4999925952589914i,0.0026936584818869815-0.4855833315795912i
0.4264899392981251+0.2609711710335546i,0.4140180429610493+0.25344618063529806i
-0.44398093590880994+0.22995833405384514i,-0.43094978555425717+0.22310574727579444i
0.032908550616575216-0.49891564206563344i,0.03202069782173917-0.48406087979633133i
0.40992945320882535+0.28628208201698757i,0.3975456104574444+0.2777462573486536i
-0.4570733809913074+0.20269152202625845i,-0.44321638414524517+0.1964448490013418i
0.06301613063425784-0.4960128724616958i,0.06117266652270911-0.48076335274129367i
0.3918688010748903+0.3105453227307965i,0.37964535425206114+0.3009782531173363i
-0.4684931338441963+0.17468294530334738i,-0.453830672347632+0.16911516250387928i
0.09289309848020752-0.4912949093381225i,0.09004190000347408-0.4757064569175957i
0.3723740771318875+0.3336721001272289i,0.36038641668380017+0.3230582037223313i
-0.4781984030731467+0.14603510325524044i,-0.46275660678396063+0.14121927320987357i
0.12243011727465863-0.48477901841509774i,0.11852200236687126-0.46891244205713306i
0.35151662370273323+0.3555777801265282i,0.3398428800347052+0.34390661611832174i
-0.4861536715580732+0.11685283468879726i,-0.4699645246776013+0.11286167791865584i
0.1515190942054755-0.4764890450569199i,0.14650824480652055-0.4604100043579738i
0.3293727701154085+0.37618219734134273i,0.3180934775716909+0.3634487590953531i
-0.4923298264305508+0.08724293418257034i,-0.47543124289076544+0.08414838723228255i
0.1800535761014532-0.46645532700820225i,0.17389795689142704-0.45023416542099925i
0.30602355337037845+0.3954099484476379i,0.29522128749225435+0.381614935270709i
-0.49670426561441866+0.05731376126448159i,-0.4791401321464221+0.05518652302882021i
0.2079291390052368-0.4547145833707472i,0.20059090924392634-0.43842612739775405i
0.28155442157994925+0.41319066812850114i,0.2713134109807903+0.3983407334064258i
-0.49926098053967893+0.027174843862455115i,-0.48108116619941316+0.02608391253072001i
0.23504377032018944-0.44130978022739414i,0.22648968616247903-0.4250331049519588i
0.2560549212648502+0.4294592865810021i,0.24646063564049686+0.4135672601258255i
-0.49999061472699197-0.003063522520791259i,-0.48125094581949895-0.0030513194700610598i
0.26129824213271374-0.42628997340459507i,0.25150004678286414-0.41010813472608126i
0.22961836965239837+0.44415626764374494i,0.22075708562022361+0.4272413501837727i
-0.49889049802837554-0.033290678441950036i,-0.4796526975463343-0.0321111586644092i
0.2865964743438292-0.40971012894914405i,0.2755312734179643-0.39370986308898276i
0.20234151317549712+0.45722782667366757i,0.19429985980395034+0.43931575453012484i
-0.49596465639880016-0.06339600548319352i,-0.4762962472740898-0.06098810799249959i
0.31084588628109905-0.391630921976036i,0.29849650576909187-0.37590231302360266i
0.1743241734222134+0.46862612737475196i,0.16718865947394007+0.4497493054928403i
-0.4912237971629222-0.0932693310681082i,-0.4711979688202697-0.08957559156899358i
0.33395773550415786-0.3721185146235867i,0.32031305975888374-0.3567546310919262i
0.14566888183160562+0.4783094568583368i,0.1395254068964306+0.45850705849737733i
-0.4846852698308698-0.12280133164604079i,-0.4643807077297952-0.11776835422606863i
0.35584744256395673-0.3512443139284014i,0.3409027297978912-0.33634081548963357i
0.11648050447266192+0.48624237829438877i,0.11141385631019089+0.465560409830332i
