signal_1,signal_2,signal_3
0.45660541947288+0.2037425862063122i,-0.095231006029451-0.045040600171485874i,-0.053134024390909605-0.02583006079759722i
0.14750023239832585-0.47774580922650234i,-0.033774492441292804+0.10144464048641584i,-0.019365775699244185+0.05636050384713217i
-0.4919905119159427-0.08912664250356186i,0.10606559544200307+0.02165967305842979i,0.05917628904717863+0.01231082810768454i
-0.02946917806559879+0.4991306066586626i,0.008828551311603244-0.10902497922488438i,0.005333119857086755-0.06117898038882387i
0.49906102229739197-0.03061360570691335i,-0.11032643765076358+0.004420308892099773i,-0.06176447780771007+0.0017702889382796992i
-0.09025662176581412-0.49178329877784444i,0.017738128163503612+0.10986025968228477i,0.009413748927806574+0.061250231645138764i
-0.4774073839070493+0.14859719401831475i,0.10751986916831253-0.030922055643584766i,0.06018429273228191-0.017101634165555404i
0.20478913084678518+0.4561372864286187i,-0.043805031470591366-0.10339134794373585i,-0.024126418587002756-0.05823216454338653i
0.4282784771380779-0.25802318891795634i,-0.09763777331853156+0.056072345037737135i,-0.054863837289129976+0.030700105918714363i
-0.307533941611703-0.39423359550970416i,0.06738517257494765+0.09030524916370221i,0.03725064090262944+0.05049897878163373i
-0.3544992224055137+0.3526042499409171i,0.08144162564293866-0.07757879930705754i,0.0457776904932393-0.04329256929840217i
0.39258033738687215+0.30964555121867154i,-0.08654710552038208-0.0712828627864544i,-0.04814871014400265-0.0404396503161691i
0.2603185247202405-0.42688634674628867i,-0.060129419827083856+0.09405764403026076i,-0.034034959769615174+0.05208539710803271i
-0.45503094695858776-0.20723097685578404i,0.09987739754747728+0.04815004765150227i,0.05558034801189179+0.027056325382631547i
-0.1511542039449273+0.476604801944312i,0.03550035363819364-0.10396504128365673i,0.02019332322497093-0.058216226548932784i
0.49129413597800115+0.09289475081924228i,-0.10635090182414206-0.022501678605452446i,-0.059406721429368536-0.013233717094846949i
0.03329170828509273-0.4988875963305276i,-0.009514075547138769+0.10695399063572135i,-0.005783444026904447+0.059500368889489196i
-0.49928018964812515+0.026793184217693215i,0.10570499209316433-0.0032545050412258066i,0.05903949554679547-0.0016496954444840321i
0.08648816614996105+0.49246280729312597i,-0.015631094500655193-0.10272522102683183i,-0.008394723405636195-0.05770752818574517i
0.47853211297718296-0.1449338031993957i,-0.09820427708050797+0.027309618877714752i,-0.055041346597271563+0.014661374300019422i
-0.20128900624830798-0.457689669791035i,0.037975589013451126+0.09222397643195886i,0.020827478711554624+0.05146649500606645i
-0.4302414032201573+0.25473820637752603i,0.08487484351797417-0.04748294575534519i,0.04757028164879491-0.026438240210805125i
0.3045062256550812+0.39658004397154234i,-0.05573935339071897-0.07641591477713289i,-0.03091459156829835-0.043133903657619925i
0.35719000407865076-0.3498762030041762i,-0.06715409890672418+0.06255196897947764i,-0.03781396449004911+0.03450732715478854i
-0.39019665414172744-0.3126404821410622i,0.06774396806072039+0.05728168009859984i,0.03761104808658442+0.03207185626389851i
-0.26357966507919856+0.42488278047479094i,0.04698409569431551-0.07130907197186696i,0.026486093205592146-0.03987906437183223i
0.45343111866444213+0.21071255647142786i,-0.07330089505773946-0.03657638758315927i,-0.04087994741362913-0.020900973746703848i
0.15480064447071926-0.4754304933534851i,-0.026389785220614977+0.07369631758488744i,-0.015060352420234475+0.04092562751524376i
-0.49056760641694447-0.09665206543623417i,0.0724990161325548+0.016630753999774272i,0.04043392399669919+0.009395731738243209i
-0.037110950323144626+0.49862066701579977i,0.007478910349511424-0.06986460419445632i,0.004402889680185383-0.039189893641981235i
0.4994714056531808-0.022965846406136102i,-0.06599709554581586+0.0008029198231650131i,-0.03693152138985628+0.00006030655536297426i
-0.08271330196235907-0.493108084303134i,0.007968742594334001+0.06103493709890933i,0.004205716799954565+0.03401574345255802i
-0.4796274370171431+0.14126725556545655i,0.05513836929630301-0.013900457699783686i,0.030853608876361377-0.007700635965153554i
0.19777840982887376+0.4592205507490111i,-0.018520782728944106-0.048579953878928855i,-0.010203730114294405-0.0273476204866645i
0.4321804276239363-0.25143293674786527i,-0.04165283236054092+0.021712342535310666i,-0.023389489676641662+0.011884845627897173i
-0.3014593126541892-0.39889788520568703i,0.02339866660202738+0.03458586194923956i,0.012942004662603448+0.01933000812459782i
-0.3598584983898884+0.3471329777700926i,0.02761328712310351-0.023617724713737277i,0.015511297681942586-0.01319010778915769i
0.3877914181575146+0.31562241893376175i,-0.022447460437493447-0.02102720109588518i,-0.01248938329716248-0.011909151250206864i
0.2668266797805373-0.42284894679768215i,-0.015103452084621638+0.019957366981728293i,-0.00852660519617332+0.011049909705759012i
-0.45180335771069996-0.21417643144819049i,0.016266217357901985+0.01005321680529966i,0.009055143078968963+0.005637011926097827i
-0.15843666936106343+0.47423364171949683i,0.006074512489722334-0.01157200635554386i,0.0034363244954067414-0.006479937965826093i
0.48981363657168653+0.10040905534155543i,-0.006093310914051612-0.0033643091227628544i,-0.003394662967988011-0.0019193478661131535i
0.04092935087343977-0.49831914498893376i,-0.002068191863020102+0.00005780629838785891i,-0.001152425784374044+0.000023299324983207285i
-0.49963198837399264+0.01914250615873047i,-0.0062655634377415835+0.00227571828851606i,-0.0035043265251849115+0.0012633217608276892i
0.07893492135070335+0.4937297813403494i,0.00405338432103913+0.012584350595092178i,0.0022333792505402263+0.007080799005186016i
0.4806959624998122-0.13758707680528212i,0.018620644169101763-0.007414410411324953i,0.01045585565469988-0.004036270300940109i
-0.19425487679030573-0.46071915012130005i,-0.012297438187821872-0.024080029394117356i,-0.00677185975802049-0.013452423812464687i
-0.4340927658881504+0.24811826329206021i,-0.028645466522238806+0.01861206068098182i,-0.016064344339432813+0.010380743141166129i
0.2983960520566641+0.40119767263558237i,0.026251962412665815+0.032045080967362305i,0.01459226942498504+0.018107450978165848i
0.3625072195333098-0.3443640457673362i,0.03406376251371594-0.03501990308704193i,0.019206800141325902-0.019353006063685414i
-0.38536209979798036-0.31858049729969495i,-0.044638979886920116-0.03446338479359614i,-0.024802769872915457-0.01930972849672851i
-0.27005670763908207+0.42079565439833844i,-0.033002105217108856+0.054852996409138766i,-0.018614871950249606+0.03069513236533259i
0.45015043030057805+0.2176330879856312i,0.06541693797361972+0.02955330573697477i,0.03651374756322086+0.016923120170488613i
0.16206473605677096-0.4730036278640532i,0.02408478831159702-0.07597370198602653i,0.013791398263612734-0.042214665055389206i
-0.48902959994623835-0.1041548107751755i,-0.08609923969624599-0.0165242660440832i,-0.048025614818556606-0.009360078463287229i
-0.04474401523453336+0.49799373731961327i,-0.006803372619403731+0.09546035035343825i,-0.004098726824640324+0.05355607383647427i
0.49976459911336735-0.015312698361380167i,0.10377797066441327-0.0049714832294660396i,0.058091988008887284-0.0021650255680319835i
-0.07515057522446461-0.49431717255430685i,-0.018577252942497142-0.11065124673227779i,-0.009910041659478154-0.06167100006656025i
-0.48173495602552835+0.13390417217332606i,-0.11563578283365052+0.03386826825173912i,-0.06468805158495591+0.018767961436470814i
0.19072128453775236+0.4621960693863199i,0.05070724154726298+0.11845951166294687i,0.027970687032898216+0.06667987671964867i
0.43598097656137674-0.2447836910587105i,0.11895310741757255-0.06874131545837034i,0.06680742354302473-0.037663033617125065i
-0.2953139528245682-0.4034685819775747i,-0.08750038056245592-0.11681658493562855i,-0.048369973241406676-0.0652763345036993i
-0.3651333414183593+0.341580258798577i,-0.11172853402309207+0.10665336315584349i,-0.0627359146348256+0.05950906650005764i
0.38291151228398307+0.32152523310736747i,0.12591218777296112+0.1036193790687671i,0.07003708458254967+0.058723942025618814i
0.27327222991056055-0.41871233433544724i,0.09256312907104498-0.144752668467945i,0.05234658885155549-0.08011878182423668i
-0.4484697626690142-0.22107163394063162i,-0.1625531913302484-0.07848223838145336i,-0.09038222687264995-0.04404894464269674i
-0.16568196102097332+0.4717512133201813i,-0.06128553019071099+0.17891358639589042i,-0.03479987357691897+0.10009288427326023i
0.48821821325275516+0.1078998014021496i,0.1935280681490265+0.04119769579802435i,0.1080026361709942+0.02418497431742436i
0.048557390368627884-0.49763377371250833i,0.018607880252949485-0.2058480963885829i,0.011294663763796123-0.11438191965538352i
-0.4998665593703977+0.011487337045457416i,-0.21525903486147374+0.006289787463537411i,-0.12005194304395699+0.0031577027607964394i
0.07136315628752823+0.49488091287294395i,0.03333077668580234+0.22145964113946964i,0.017866635888794797+0.12421787709015199i
0.48274702737140157-0.13020806831783982i,0.22429867050624328-0.06199516917070994i,0.12552262789291857-0.03320151624755686i
-0.18717516962192293-0.4636405325281012i,-0.09160416486899967-0.22337670487904995i,-0.05009972587684658-0.12444026986020075i
-0.43784227816297605+0.24144010502973046i,-0.21825668878721455+0.12174385471277027i,-0.12207973053227458+0.06760928576476236i
0.2922158664694875+0.4057211694080326i,0.1520714642951504+0.20890052029271827i,0.08413172239917446+0.1176763387609268i
0.3677393807245959-0.3387710907717498i,0.19546399743018508-0.1818747393702324i,0.10985312501964854-0.1000502266041018i
-0.38043712863949364-0.32444576424183463i,-0.21031215614144574-0.17783565671269363i,-0.11639554721135584-0.09936344094614759i
-0.27647038725707684+0.4166097981951503i,-0.15587681330596367+0.23689793965459052i,-0.08766815275325247+0.13206182587853235i
0.44676412412261773+0.22450255699849703i,0.2612769064093089+0.12991128653850376i,0.14525455846714191+0.0740877082761265i
0.16929080279724518-0.4704657821687883i,0.1004750686139747-0.28272733868329625i,0.057274439179337465-0.15647136109693674i
-0.4873768533631975-0.1116331181662991i,-0.3004403635487643-0.06779258486249402i,-0.16693720168389986-0.038283029270138755i
-0.052366581869058265+0.49724996466536064i,-0.032043150218002726+0.31406049401672287i,-0.018931043203254873+0.17550840129538975i
0.4999405338865586-0.007655957215417763i,0.3234245925787763-0.006099516554714604i,0.18031753555983254-0.001381084656000981i
-0.06757021597953355-0.4954102798454126i,-0.045763294512609125-0.32800751302104986i,-0.02398373763226674-0.18208669372556058i
-0.48372944644924837+0.12650967142740863i,-0.3272341098227483+0.08646020349318964i,-0.18233640260606285+0.047568221302983923i
0.18361941077257035+0.46506314420057693i,0.12779425058410646+0.3210680306968069i,0.07002653614682021+0.17999472507966402i
0.43967923223522676-0.23807701194966896i,0.30971056319843115-0.1688742931748163i,0.17323150602662551-0.0919479163269013i
-0.28909930399628847-0.4079446134119532i,-0.20865213965985455-0.2929899202884394i,-0.11471846287503812-0.16307233016462144i
-0.3703225138650887+0.33594739584968336i,-0.2706991552716681+0.246556574250669i,-0.1513949632164815+0.13688453355903502i
0.3779417647288032+0.3273526087740413i,0.28217377045405273+0.24322590706373357i,0.15617246635155332+0.13726321632617897i
0.279653662803814-0.41447747992466744i,0.21120912280675844-0.3146138232451099i,0.11894403009641859-0.1732754349051396i
-0.44503094398824833-0.22791496652557958i,-0.3428838654741478-0.1748759153472306i,-0.1897451422045078-0.09778047980381825i
-0.17288837897641+0.4691580991935609i,-0.13440030727321092+0.3665635615057858i,-0.07599892278567869+0.20412298380923216i
0.48650824035218027+0.11536523146230421i,0.3854549859000539+0.09056793244549755i,0.21411845953083902+0.052791961439196664i
0.056174037019052964-0.49683164330853935i,0.04439242518759007-0.3989044299777697i,0.026511836194785258-0.22064834578549383i
