index,particle,x,y,z,active,cell_id,group
334,1H,37.97,30.65,34.23,false,0,none
335,1H,38.05,32.35,33.72,false,0,none
336,16O,39.730000000000004,31.31,33.34,false,0,none
337,1H,40.05,30.42,33.5,false,0,none
338,12C,2.1799999999999984,6.15,15.92,false,0,none
339,1H,2.44,5.1000000000000005,16.17,false,0,none
340,1H,3.149999999999998,6.629999999999999,15.64,false,0,none
341,16O,1.6100000000000017,6.93,16.98,false,0,none
342,1H,1.1399999999999981,6.249999999999998,17.47,false,0,none
343,12C,1.2899999999999987,6.15,14.61,false,0,none
344,1H,1.0199999999999985,7.19,14.32,false,0,none
345,16O,0.11999999999999958,5.290000000000001,14.77,false,0,none
346,1H,0.3999999999999986,4.419999999999999,15.06,false,0,none
347,12C,2.2099999999999995,5.659999999999999,13.39,false,0,none
348,1H,1.5700000000000018,5.8199999999999985,12.49,false,0,none
349,1H,3.0699999999999985,6.340000000000001,13.21,false,0,none
350,16O,2.6899999999999977,4.37,13.58,false,0,none
351,1H,3.0999999999999996,4.339999999999999,14.450000000000001,false,0,none
352,12C,23.41,13.01,15.12,false,0,none
353,1H,24.17,13.78,15.38,false,0,none
354,1H,24.1,12.18,14.86,false,0,none
355,16O,22.69,13.4,13.95,false,0,none
356,1H,22.94,14.32,13.83,false,0,none
357,12C,22.51,12.72,16.31,false,0,none
358,1H,21.7,12.02,16,false,0,none
359,16O,21.88,13.88,16.78,false,0,none
360,1H,21.139999999999997,13.59,17.31,false,0,none
361,12C,23.24,12.05,17.48,false,0,none
362,1H,23.78,11.200000000000001,17.02,false,0,none
363,1H,23.97,12.62,18.1,false,0,none
364,16O,22.299999999999997,11.59,18.45,false,0,none
365,1H,22.39,12.1,19.249999999999996,false,0,none
366,12C,1.789999999999999,34.26,40.67,false,0,none
367,1H,1.3400000000000016,33.25,40.82000000000001,false,0,none
368,1H,2.879999999999998,34.24,40.83,false,0,none
369,16O,1.190000000000001,35.15,41.7,false,0,none
370,1H,0.23999999999999916,35.24,41.55,false,0,none
371,12C,1.6100000000000017,34.8,39.330000000000005,false,0,none
372,1H,1.6399999999999983,35.91,39.330000000000005,false,0,none
373,16O,0.3499999999999998,34.5,38.77,false,0,none
374,1H,0.4500000000000015,33.72,38.21,false,0,none
375,12C,2.719999999999999,34.48,38.41,false,0,none
376,1H,2.620000000000001,35.05,37.46,false,0,none
377,1H,3.729999999999998,34.8,38.76,false,0,none
378,16O,2.6399999999999992,33.04,38.01,false,0,none
379,1H,3.4700000000000015,32.99,37.54,false,0,none
380,12C,26.06,3.21,41.54,false,0,none
381,1H,25.97,3.7400000000000015,42.52,false,0,none
382,1H,26.72,3.7599999999999993,40.84,false,0,none
383,16O,24.78,3.3900000000000015,40.87,false,0,none
384,1H,24.17,2.9599999999999977,41.47,false,0,none
385,12C,26.43,1.7199999999999982,41.79,false,0,none
386,1H,26.36,1.2099999999999989,40.8,false,0,none
387,16O,25.4,1.1200000000000003,42.59,false,0,none
388,1H,25.46,0.16999999999999837,42.45,false,0,none
389,12C,27.78,1.3900000000000003,42.37,false,0,none
390,1H,27.94,0.30000000000000104,42.44,false,0,none
391,1H,28.62,1.730000000000001,41.73,false,0,none
392,16O,28.03,1.9399999999999995,43.69,false,0,none
393,1H,27.46,1.5899999999999996,44.370000000000005,false,0,none
394,12C,34.59,2.98,52.63,false,0,none
395,1H,33.73,3.670000000000001,52.47,false,0,none
396,1H,35.4,3.3699999999999997,51.98,false,0,none
397,16O,34.16,1.6799999999999984,52.16,false,0,none
398,1H,33.74,1.8800000000000017,51.32,false,0,none
399,12C,34.91,3.0699999999999985,54.1,false,0,none
400,1H,35.43,2.13,54.38,false,0,none
401,16O,33.74,3.1200000000000014,54.9,false,0,none
