radius,counts_1_clusters,counts_2_clusters,counts_3_clusters,counts_4_clusters
8.36763108651427e-10,1,12,134,1471
8.82232112315121e-10,1,10,101,1026
6.8235144903488e-10,1,9,95,974
6.12982463044417e-10,1,12,158,1977
1.12888772692416e-09,1,4,34,312
1.09925406526426e-09,1,5,32,280
1.11300381850199e-09,1,2,18,165
1.13966464365619e-09,1,0,0,0
1.03793087438422e-09,1,6,50,426
1.09761855851657e-09,1,3,24,217
9.46045717711359e-10,1,7,55,476
1.10826147636738e-09,1,5,43,431
1.19462734775326e-09,1,4,35,342
1.1665108229245e-09,1,6,54,549
9.16808322388056e-10,1,12,132,1524
9.88719626587841e-10,1,10,102,1134
1.08604719050325e-09,1,9,86,906
1.13506541661703e-09,1,2,14,128
1.06909237206146e-09,1,6,50,433
7.97517084456502e-10,1,13,170,2101
8.831242834392e-10,1,10,99,1128
8.05031365848561e-10,1,12,140,1660
6.74832942290164e-10,1,13,165,2065
5.42548154544829e-10,1,15,210,2790
1.19257725116657e-09,1,2,9,71
6.80129767029792e-10,1,9,102,1194
7.23126890663043e-10,1,15,199,2409
9.43200667938695e-10,1,6,52,526
8.88540094762189e-10,1,10,112,1282
7.91729436108068e-10,1,11,123,1387
1.08817530756767e-09,1,6,57,602
9.26357652313619e-10,1,9,103,1238
8.91205644057532e-10,1,11,136,1671
8.70419151903266e-10,1,12,142,1672
8.12472461071758e-10,1,13,162,2023
6.30045633267941e-10,1,15,208,2727
7.54083881275817e-10,1,16,224,2889
8.85148857537533e-10,1,9,90,978
7.83486758024665e-10,1,13,153,1802
5.86692849794507e-10,1,12,171,2349
5.43050181843262e-10,1,13,173,2237
1.1710745065964e-09,1,2,26,287
1.17760710765518e-09,1,3,35,368
1.04693337896926e-09,1,9,92,966
9.37671317680135e-10,1,12,130,1413
8.28183856399049e-10,1,15,177,1988
1.12089540100761e-09,1,3,26,257
1.14957405155127e-09,1,2,24,242
1.11574257783774e-09,1,1,2,9
8.44019253334899e-10,1,10,98,986
8.04412518550029e-10,1,10,98,959
7.1263209301855e-10,1,13,154,1754
5.98901911835319e-10,1,8,76,770
