signal_0,signal_1
1+0i,0.6894291863816516-0.6560224826611794i
1+0i,-0.08964024945587884-0.947039297157782i
1+0i,-0.7995994688017072-0.5145849050064581i
1+0i,-0.8983296345506985+0.31047764269198075i
1+0i,-0.3109500454431103+0.8977391453445441i
1+0i,0.5133921616739603+0.7989270588605849i
1+0i,0.9449700341901518+0.09008607188986022i
1+0i,0.6545375873431981-0.6869423443101361i
1+0i,-0.13549090630669658-0.9387088441488763i
1+0i,-0.8213668067262002-0.4734014875713505i
1+0i,-0.8794016608858879+0.3530197210405923i
1+0i,-0.2658228352945765+0.9091335008648479i
1+0i,0.5502163805439981+0.7704935004852558i
1+0i,0.9453618971660409+0.043583117267524674i
1+0i,0.6182282449281509-0.7159680592431286i
1+0i,-0.1807277357955347-0.9280944200873594i
1+0i,-0.8409596178721861-0.43129057553543687i
1+0i,-0.8584020382981469+0.3944248850203215i
1+0i,-0.22031044385419382+0.9181973167469115i
1+0i,0.585446230451977+0.740318325368793i
1+0i,0.9434002664399006-0.0027416356135353467i
1+0i,0.5806060260725135-0.7430335505294439i
1+0i,-0.22523405657794454-0.9152376988077646i
1+0i,-0.8583386537023492-0.388369637059693i
1+0i,-0.8353989075325815+0.43458977124448284i
1+0i,-0.1745362025813122+0.9249203754150134i
1+0i,0.6189975564497878+0.7084922024251612i
1+0i,0.939104493833796-0.04876605470778422i
1+0i,0.5417789066672891-0.7680786540457456i
1+0i,-0.26889591891317144-0.900186447658643i
1+0i,-0.873471143344907-0.3447577521354565i
1+0i,-0.8104656740001557+0.47341511595010843i
1+0i,-0.12862346747065573+0.9292991292551938i
1+0i,0.6507914338733022+0.6751099355882884i
1+0i,0.93250041040907-0.09436956966281532i
1+0i,0.5018576324806221-0.7910492647340535i
1+0i,-0.3116024288825987-0.8829943510323466i
1+0i,-0.8863308548064932-0.3005752487078495i
1+0i,-0.7836807593378928+0.5108060276228996i
1+0i,-0.08269525135831118+0.9313366733929417i
1+0i,0.6807543737642539+0.6402701578141531i
1+0i,0.9236202125148111-0.13943352216282973i
1+0i,0.46095537330378017-0.8118974631041508i
1+0i,-0.35324606124707647-0.8637208163799935i
1+0i,-0.8968981354001906-0.25594333693376536i
1+0i,-0.7551273386823725+0.5466722444227522i
1+0i,-0.036873859372578144+0.9310426978580922i
1+0i,0.708818510137958+0.6040750148435856i
1+0i,0.9125023285850129-0.18384150830673074i
1+0i,0.4191873714895548-0.8305816216797386i
1+0i,-0.3937229599860315-0.8424307634454828i
1+0i,-0.9051599313759395-0.210983742779857i
1+0i,-0.7248930645969768+0.5809283756564494i
1+0i,0.008719471297751191+0.9284334194123227i
1+0i,0.7349217685903957+0.5666298398180297i
1+0i,0.8991912672315119-0.22747971194891575i
1+0i,0.3766705860635845-0.8470664911577228i
