signal_0,signal_1
0.18428107091854606-0.9828724651927256i,0.1813030916383664-0.9662276371786089i
0.7457696965932318+0.6662034157314971i,0.7328858461520983+0.6548827530471735i
-0.9559481035525981+0.293535625954795i,-0.9393612456900661+0.2882945709607989i
0.2433750009662748-0.9699311865046727i,0.23922085509529198-0.9527868186809544i
0.704121947690922+0.7100786219652848i,0.6914256009775395+0.697478759641383i
-0.9719480230675236+0.23519552861743698i,-0.9543546266981869+0.23078978285425833i
0.30157828331932457-0.9534403745164901i,0.29617274705587276-0.9358660196088624i
0.6598974150115796+0.7513552466242003i,0.647488089766992+0.7374480156738632i
-0.9843910295996112+0.17599471801727185i,-0.9658192273031702+0.17252482874253228i
0.3586779189438775-0.9334603785225544i,0.3519491994106512-0.9155332002095307i
0.6132579413645948+0.7898822349770294i,0.6012398895064115+0.7746464197901298i
-0.9932315870852231+0.11614984371338441i,-0.9737179773716214+0.11371676698516511i
0.4144649476794805-0.9100643167332187i,0.40634535523894966-0.8918689681002597i
0.5643742072068585+0.8255185947813534i,0.5528559572055384+0.8089404458247063i
-0.9984373428781385+0.05587991226159676i,-0.9780271893798379+0.054584350999626725i
0.46873521294355114-0.883337808693547i,0.45916183359769036-0.8649662551860393i
0.513425106025543+0.8581339122546464i,0.5025189577010994+0.8402076297172645i
-0.999989246146354-0.004594514255533127i,-0.9787366269564799-0.004652797712456005i
0.5212901088568518-0.8533786619525237i,0.5102054723297917-0.8349299482454523i
0.4605970896647161+0.8876088293327473i,0.4504185632116879+0.8683370136449425i
-0.9978816175899513-0.06505212539127297i,-0.9758495222095424-0.06377501855132689i
0.571937307055768-0.8202965141294003i,0.5592900460809596-0.8018764746711685i
0.4060834859916124+0.9138354804691491i,0.3967507273713334+0.893229545735577i
-0.9921221702248973-0.1252716722359694i,-0.9693825418512266-0.12256343963865601i
0.620491460531577-0.7842124316870644i,0.6062369568129953-0.7659333450224038i
0.3500837913996113+0.9367178873766062i,0.3417169365630436+0.9147984339012359i
-0.9827319811567187-0.1850327770931024i,-0.9593657023318809-0.18080080130150897i
0.666774881920954-0.7452584668807456i,0.6508758942129085-0.7272386542108077i
0.2928029407370586+0.956172310266473i,0.28552344145652786+0.9329694525107712i
-0.9697454144473371-0.24411673996707273i,-0.9458422343915399-0.23827227207340995i
0.7106181937654604-0.7035771745034319i,0.6930454635174261-0.6859405432985011i
0.23445055733367193+0.9721275543003915i,0.2283804717267956+0.9476812008040227i
-0.9532099953573548-0.30230733891132533i,-0.9288683976306537-0.2947662540991027i
0.7518609483603503-0.6593210901965126i,0.7325937784019648-0.6421966240347461i
0.175240185869123+0.9845252301328444i,0.1705014369890683+0.9588853121389033i
-0.9331862364239961-0.3593916213078748i,-0.908513245895349-0.35007517487595513i
0.7903522149243069-0.6126521722347935i,0.7693790167226804-0.5961733683993983i
0.11538851089115676+0.9933199675911005i,0.11210211703498549+0.9665466133534701i
-0.9097474160111907-0.41516068318249333i,-0.8848583444599417-0.4039962623225149i
0.8259511319413287-0.5637412088287206i,0.803269937046436-0.54804546555142i
0.05511456384314328+0.9984795817105738i,0.05339984449000795+0.9706432337195537i
-0.8829793101422134-0.4694104337035995i,-0.8579974401740933-0.45633230023467336i
0.8585274226534214-0.5127671931128293i,0.8341463540597135-0.49799514870300354i
-0.005361078496999849+0.9999851905179828i,-0.005387316963773963+0.9711666631591824i
