signal_0,signal_1,signal_2
-0.09025945421617942+0.49178552190854397i,0.017524774815002624-0.10221877643637865i,0.010000756321738897-0.0563982384229622i
0.49906084596236594+0.030618762128485i,-0.10417672268110693-0.005117530072526689i,-0.05735454145019662-0.003469424432675753i
-0.029466303311821762-0.499128080948846i,0.007417369554842039+0.10445850700262375i,0.003595982209526998+0.057272277863006454i
-0.4919910252447641+0.0891268660397887i,0.10296343233280103-0.01988046688450865i,0.05666939488387198-0.010746383664514265i
0.1474974807939931+0.4777492157742699i,-0.03211324289233731-0.09977234470075895i,-0.017318079286614493-0.05525186180124842i
0.4566065929215509-0.20373764110095666i,-0.09504243429652548+0.04382199217112226i,-0.05252489594770619+0.02349077943277449i
-0.2570383091831833-0.4288688244820409i,0.054689720687141945+0.08882167074528428i,0.02966581669422492+0.04886049467176436i
-0.3949414233810984+0.30662781905622105i,0.08115432892354738-0.06456269706687971i,0.04485204232478126-0.0354141660980816i
0.35178693551598084+0.3553106925572882i,-0.07334770572145866-0.07225623709058619i,-0.040113889675092086-0.040276828147965425i
0.31054721062082513-0.39186514873780076i,-0.06240404802892873+0.08083667014139502i,-0.034717936174822155+0.04399348667290232i
-0.4262875888404674-0.2612978304970478i,0.08681804055302397+0.05175154046570219i,0.04749470684532413+0.028604011437899104i
-0.2082785256105096+0.45455443803730555i,0.040433374313747106-0.09125434128840484i,0.022559870417127474-0.050257635737178945i
0.47625510961922785+0.15225156666198308i,-0.09417684823541905-0.028731954393377657i,-0.051749805410530696-0.016405935106279874i
0.09402394686852916-0.49107714762548105i,-0.016966114602775854+0.09551432369230581i,-0.009775991276347628+0.05226713314351573i
-0.4988110473906922-0.0344373865707943i,0.09519968904403994+0.005315940101286774i,0.052300170989363966+0.003101787618923152i
0.025643378639014863+0.4993417943911338i,-0.0060763030269509475-0.09333376208664589i,-0.003018505128065566-0.05157930098020109i
0.4926598557166244-0.08535352634194618i,-0.09007994889680564+0.016949501299722843i,-0.04967957267448257+0.008761311166676672i
-0.14383351541287345-0.4788621811981496i,0.027030639941279994+0.08550128585851571i,0.014477685297913975+0.046954222566336204i
-0.4581529264027951+0.20023729172590346i,0.07965985911915523-0.036195422986019264i,0.04392339320126602-0.019786633257822723i
0.25374681036944247+0.4308275222893573i,-0.04437099514335206-0.0727639440434104i,-0.02417027184248369-0.04039849342474637i
0.3972788949166489-0.30359138249781076i,-0.06506621161093204+0.05139109257124718i,-0.03605051396769188+0.027835061705725465i
-0.3490547090314796-0.35799185661285493i,0.057094516462871385+0.05671386234602493i,0.031143021433340898+0.03125469341767782i
-0.3135386576282754+0.38947791903633844i,0.047839673251111985-0.06146659035668329i,0.026519673711650458-0.03380088490535594i
